               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023783,            0.013244,            0.044347,             0.67568,             0.70436,             0.72946,             0.46855,            0.020353,           0.0042608,            0.023908,            0.006436,            0.006436,            0.006436
                  38,             0.02357,            0.013081,            0.042797,             0.67035,             0.72201,             0.73508,             0.47132,            0.020465,           0.0042645,            0.023803,            0.006337,            0.006337,            0.006337
                  39,            0.024175,            0.013059,            0.044198,             0.68149,             0.71238,             0.73669,             0.47085,            0.020657,           0.0042391,            0.023813,            0.006238,            0.006238,            0.006238
                  40,            0.023037,             0.01317,            0.042136,             0.67743,             0.71045,             0.73828,             0.47206,            0.020519,           0.0042467,            0.023525,            0.006139,            0.006139,            0.006139
                  41,            0.022794,            0.013014,            0.040984,             0.68717,             0.71793,             0.74121,             0.47561,            0.020256,           0.0042422,             0.02325,             0.00604,             0.00604,             0.00604
                  42,            0.022843,            0.013042,            0.041748,             0.68543,             0.72264,             0.73974,             0.47306,            0.020323,           0.0042452,            0.022982,            0.005941,            0.005941,            0.005941
                  43,             0.02304,            0.012986,            0.041191,             0.69182,             0.71856,             0.74282,             0.47682,            0.020171,           0.0042349,            0.022851,            0.005842,            0.005842,            0.005842
                  44,            0.022829,            0.012929,             0.04074,              0.6926,             0.71283,             0.74452,             0.47816,            0.020064,           0.0042377,            0.022765,            0.005743,            0.005743,            0.005743
                  45,            0.022953,            0.012862,             0.04065,             0.68307,             0.72206,             0.74653,             0.48032,            0.020015,           0.0042309,             0.02278,            0.005644,            0.005644,            0.005644
                  46,            0.023496,            0.012913,            0.040549,             0.68874,             0.71666,             0.74716,             0.48222,            0.020017,            0.004219,            0.022911,            0.005545,            0.005545,            0.005545
                  47,            0.022887,            0.012879,             0.04046,             0.68736,              0.7244,             0.74603,             0.48227,            0.020015,           0.0042063,            0.022931,            0.005446,            0.005446,            0.005446
                  48,            0.022646,            0.012801,            0.040221,             0.69239,             0.72845,             0.74725,             0.48383,            0.019986,           0.0041905,            0.023027,            0.005347,            0.005347,            0.005347
                  49,            0.023005,            0.012831,            0.040087,             0.69932,             0.72285,             0.74912,              0.4854,            0.019985,           0.0041822,            0.023072,            0.005248,            0.005248,            0.005248
                  50,            0.022305,            0.012691,            0.038783,             0.70708,             0.71934,             0.75012,             0.48615,            0.020011,           0.0041793,             0.02305,            0.005149,            0.005149,            0.005149
                  51,            0.022525,            0.012689,            0.039699,             0.70641,             0.71789,             0.75176,             0.48868,            0.020016,           0.0041745,            0.023048,             0.00505,             0.00505,             0.00505
                  52,            0.022329,            0.012678,            0.038263,             0.70023,              0.7249,             0.75325,             0.49113,            0.019962,           0.0041708,            0.022983,            0.004951,            0.004951,            0.004951
                  53,            0.022143,            0.012632,            0.038124,             0.70525,             0.72368,             0.75441,              0.4921,             0.02001,           0.0041669,            0.023001,            0.004852,            0.004852,            0.004852
